,Ortho,Phono,Length,LogFreq,meanRT
333,acrimonious,akr@moni@s,11,4.73,1012.736842
334,acrimony,akr@moni,8,4.49,1073.8
335,acrobat,akr@bat,7,7.8,661.2857143
336,acrobatic,akr@batIk,9,5.12,793.5925926
337,acrobatics,akr@batIks,10,5.99,765.48
338,acrobats,akr@bats,8,4.19,686.4137931
339,acronym,akr@nIm,7,7.58,799.4230769
340,Acropolis,@krAp@lIs,9,4.69,1180.428571
341,across,@krOs,6,11.04,594.9655172
342,acrylic,@krIlIk,7,6.74,895.8709677
343,act,akt,3,11.19,626.9310345
344,acted,akt@d,5,8.5,691.3846154
345,acting,aktIN,6,9.68,601.7586207
346,action,akSn,6,11.26,576.1071429
347,actions,akSnz,7,10.3,626.3571429
348,activate,akt@vet,8,8.16,689.9655172
349,activated,akt@vet@d,9,8.09,671.862069
350,activating,akt@vetIN,10,6.48,677.6
351,activation,akt@veSn,10,7.56,737.2333333
352,active,aktIv,6,10.48,599.037037
353,actively,aktIvli,8,8.87,684.137931
354,activism,akt@vIzm,8,7.35,680.3571429
355,activist,akt@vIst,8,8.17,639.4545455
356,activities,aktIv@tiz,10,10.4,668.3333333
357,activity,aktIv@ti,8,10.18,632.8571429
358,actor,akt#,5,9.26,565.2413793
359,actors,akt#z,6,8.89,629.1612903
360,actress,aktr@s,7,8.52,630.9655172
361,actresses,aktr@s@z,9,7.42,727.7307692
362,acts,akts,4,9.87,600.2222222
363,actual,akCu@l,6,10.62,545.3448276
364,actualities,akCual@tiz,11,3.64,804.6086957
365,actuality,akCual@ti,9,6.86,710.4230769
366,actually,akCu@li,8,12.19,639.0333333
367,actuary,akCuEri,7,3.89,960.4615385
368,acuity,@kju@ti,6,5.43,927.6842105
369,acupuncture,akj@pVNkC#,11,6.26,834.0333333
370,acute,@kjut,5,7.79,766.75
371,acutely,@kjutli,7,5.81,755.9285714
372,acuteness,@kjutn@s,9,2.94,971.1071429
373,ad,ad,2,10.67,589.7241379
374,Ada,et@,3,9.64,792.7142857
375,adage,at@J,5,6.22,709.2941176
376,Adam,at@m,4,9.88,688.3793103
377,adamant,at@m@nt,7,6.44,768.962963
378,adamantly,at@m@ntli,9,5.8,974.2916667
379,adapt,@dapt,5,8.13,615.137931
380,adaptability,@dapt@bIl@ti,12,5.43,770.96
381,adaptable,@dapt@bL,9,6.69,701.5925926
382,adaptation,adapteSn,10,7.6,836.2692308
383,adaptations,adapteSnz,11,6.23,697.0384615
384,adapted,@dapt@d,7,8.04,678.6923077
385,adapter,@dapt#,7,9.62,593.5714286
386,adapters,@dapt#z,8,8.44,659.6551724
387,adapting,@daptIN,8,6.59,754.4285714
388,add,ad,3,11.64,586.6206897
389,added,at@d,5,11.04,641.5
390,addendum,@dEnt@m,8,7.2,902.1052632
391,adder,at#,5,5.86,676
392,addict,atIkt,6,7.54,671.3214286
393,addicted,@dIkt@d,8,7.75,626.3076923
394,addiction,@dIkSn,9,8.14,749.3225806
395,addicts,atIkts,7,7.55,670.12
396,adding,atIN,6,10.09,620.0689655
397,addition,@dISn,8,10.76,745.1935484
398,additional,@dISn@l,10,10.93,729.4137931
399,additionally,@dISn@li,12,8.8,709.75
400,additions,@dISnz,9,9.13,694.9
401,additive,at@tIv,8,6.81,771.3461538
402,additives,at@tIvz,9,7.14,930.8518519
403,addle,atL,5,1.95,745.1666667
404,address,adrEs,7,12.31,570.8148148
405,addressed,@drEst,9,9.4,643.1111111
406,addressee,adrEsi,9,5.44,754.037037
407,addressees,adrEsiz,10,4.61,713.8461538
408,addresses,adrEs@z,9,10.47,692.4137931
409,addressing,@drEsIN,10,8.87,630.2580645
410,adds,adz,4,9.38,615.7666667
411,adduce,@dus,6,4.47,710.2
412,Adele,@dEl,5,5.36,846.4210526
413,adept,@dEpt,5,7.47,650.8275862
414,adequacy,at@kw@si,8,6.01,821.3103448
415,adequate,at@kw@t,8,9.01,723.4230769
416,adequately,at@kw@tli,10,7.96,768.4444444
417,adhere,@dhIr,6,7.57,615.1071429
418,adhered,@dhIrd,7,5.96,763.1428571
419,adherence,@dhIr@ns,9,6.81,691.3571429
420,adherent,@dhIr@nt,8,4.96,738.1071429
421,adherents,@dhIr@nts,9,6.54,791.6206897
422,adheres,@dhIrz,7,5.57,650.9655172
423,adhesion,@dhiZn,8,5.93,869.3333333
424,adhesive,@dhisIv,8,6.84,697.75
425,adhesives,@dhisIvz,9,5.08,795.2222222
426,adieu,@du,5,4.96,804.28
427,adios,atios,5,6.2,720.92
428,adipose,at@pos,7,4.82,954.4545455
429,adirondack,at@rAndak,10,5.86,1116.842105
430,adirondacks,at@rAndaks,11,4.78,993.7272727
431,adjacent,@Jesnt,8,8.1,735.1724138
432,adjectival,aJIkt!vL,10,3.66,744.8
433,adjective,aJIktIv,9,6.95,773.5454545
434,adjectives,aJIktIvz,10,6.43,813.5769231
435,adjoin,@JYn,6,2.3,707.56
436,adjoined,@JYnd,8,2.89,800.137931
437,adjoining,@JYnIN,9,6.44,753.0344828
438,adjoins,@JYnz,7,3.5,713.0689655
439,adjourn,@J#n,7,5.12,674.9655172
440,adjourned,@J#nd,9,5.4,777.8333333
441,adjourning,@J#nIN,10,1.95,709.6296296
442,adjournment,@J#nm@nt,11,4.64,687.5384615
443,adjourns,@J#nz,8,2.4,678.0769231
444,adjudge,@JVJ,7,2.4,809.88
445,adjudged,@JVJd,8,4.16,1130.954545
446,adjudging,@JVJIN,9,0.69,1056.388889
447,adjudicate,@JutIket,10,4.76,1153.1875
448,adjudication,@JutIkeSn,12,5.39,1261.611111
449,adjunct,aJVNkt,7,6.61,742.5833333
450,adjuncts,aJVNkts,8,4.7,795.5263158
451,adjure,@JUr,6,2.3,704.3181818
452,adjust,@JVst,6,9.06,620.7586207
453,adjustable,@JVst@bL,10,7.85,669.7741935
454,adjusted,@JVst@d,8,8.41,622.4666667
455,adjusting,@JVstIN,9,7.76,613.6538462
456,adjustment,@JVstm@nt,10,8.45,603.2592593
457,adjustments,@JVstm@nts,11,7.88,631.0645161
458,adjusts,@JVsts,7,6.38,691.25
459,Adlai,adli,5,5.12,993.0909091
460,administer,@dmIn@st#,10,7.75,718.5
461,administered,@dmIn@st#d,12,8.02,805
463,administers,@dmIn@st#z,11,5.95,710.7241379
469,admirable,adm#@bL,9,6.9,707.2962963
470,admirably,adm#@bli,9,6.03,854.68
471,admiral,adm#r@l,7,8.5,688.1851852
472,admirals,adm#r@lz,8,5.52,700.8518519
473,admiralty,adm#r@lti,9,5.53,1075.692308
474,admiration,adm#eSn,10,7.23,700.2758621
475,admire,@dm!r,6,8.06,708.7931034
476,admired,@dm!rd,7,7.22,649.0344828
477,admirer,@dm!r#,7,6.03,667.8571429
478,admirers,@dm!r#z,8,5.9,622.5384615
479,admires,@dm!rz,7,5.52,668.1724138
480,admiring,@dm!rIN,8,6.43,763.4137931
481,admiringly,@dm!rINli,10,3.53,749.3448276
482,admissible,@dmIs@bL,10,5.9,781.0333333
483,admission,@dmISn,9,8.7,637.4137931
484,admissions,@dmISnz,10,7.46,643.5714286
485,admit,@dmIt,5,10.21,614.5
486,admits,@dmIts,6,7.89,567.8965517
487,admittance,@dmItns,10,5.8,712.8571429
488,admitted,@dmIt@d,8,9.04,684.2
489,admittedly,@dmIt@dli,10,8.34,895.9666667
490,admitting,@dmItIN,9,7.73,614.6071429
491,admixed,admIkst,7,0,762.375
492,admonish,@dmAnIS,8,4.94,731.1666667
493,admonished,@dmAnISt,10,5.54,809.7307692
494,admonishing,@dmAnISIN,11,4.13,760.6666667
496,admonition,adm@nISn,10,5.7,820.6315789
497,admonitions,adm@nISnz,11,4.53,895.7058824
498,ado,@du,3,6.5,765.52
499,adobe,@dobi,5,8.85,667.5
500,adolescence,atLEsns,11,6.67,652.6296296
501,adolescent,atLEsnt,10,7.33,689.1481481
502,adolescents,atLEsnts,11,6.77,737.5862069
503,Adolf,edAlf,5,7.19,782.6666667
504,Adonis,@donIs,6,6.21,807.65
505,adopt,@dApt,5,8.65,640.1935484
506,adopted,@dApt@d,7,9.15,611.9333333
507,adopting,@dAptIN,8,7.51,666.25
508,adoption,@dApSn,8,9.07,633.2692308
509,adopts,@dApts,6,6.11,741
510,adorable,@dOr@bL,8,6.84,655.8
511,adoration,at#eSn,9,6.07,743.9285714
512,adore,@dOr,5,6.97,582.3333333
513,adored,@dOrd,6,5.87,657.6666667
514,adores,@dOrz,6,5.38,657.6923077
515,adorn,@dOrn,5,4.8,611.6
516,adorned,@dOrnd,7,5.56,626.25
517,adornment,@dOrnm@nt,9,5.48,696.1333333
518,adorns,@dOrnz,6,3.89,645.0967742
519,adrenal,@drinL,7,5.84,933.2105263
520,adrenalin,@drEn@lIn,9,5.77,688.4827586
521,Adrian,edri@n,6,8.58,815.9285714
522,Adriatic,edriatIk,8,5.69,930.125
523,adrift,@drIft,6,5.47,685.3703704
524,adroit,@drYt,6,3.76,1068.6875
525,adroitness,@drYtn@s,10,1.1,843.5
526,ads,adz,3,10.19,599.5714286
527,adsorbed,@dsOrbd,8,4.51,909.35
528,adsorbs,@dsOrbz,7,2.56,737.4
529,adulation,aJuleSn,9,5.2,1011.809524
530,adult,@dVlt,5,10.14,544.7586207
531,adulterant,@dVlt#r@nt,10,1.61,1046.043478
532,adulterate,@dVlt#ret,10,2.94,978.2272727
533,adulterated,@dVlt#ret@d,11,4.17,902.0454545
534,adulterer,@dVlt#r#,9,4.49,758.6538462
535,adulterers,@dVlt#r#z,10,5.06,857.0416667
536,adulteress,@dVltr@s,10,4.01,865.2758621
537,adulterous,@dVlt#r@s,10,4.98,724.3333333
538,adultery,@dVlt#ri,8,7.11,643.9310345
539,adulthood,@dVlthUd,9,6.77,600.1428571
540,adults,@dVlts,6,9.37,548.6785714
541,advance,@dvans,7,11.28,635.2307692
542,advanced,@dvanst,8,10.51,650.8387097
543,advancement,@dvansm@nt,11,8.32,692.8787879
544,advancements,@dvansm@nts,12,5.98,689.1290323
545,advances,@dvans@z,8,8.44,607.1034483
546,advancing,@dvansIN,9,7.64,639.1724138
547,advantage,@dvantIJ,9,10.42,571
548,advantageous,adv@nteJ@s,12,6.94,788.2727273
550,advantages,@dvantIJ@z,10,9.2,724.5769231
551,advent,advEnt,6,7.59,687.7931034
552,adventitious,advEntIS@s,12,2.89,922.1538462
553,adventure,@dvEnC#,9,9.46,632.2
554,adventurers,@dvEnC##z,11,7.06,635.8214286
555,adventures,@dvEnC#z,10,9.16,678.5172414
556,adventuring,@dvEnC#IN,11,5.41,827.2068966
557,adventurous,@dvEnC#@s,11,6.97,678.4642857
558,adverb,adv#b,6,5,662.3225806
559,adverbial,@dv#bi@l,9,4.48,895.0645161
560,adverbs,adv#bz,7,5.21,679.4333333
561,adversaries,adv#sEriz,11,6.03,867.4
562,adversary,adv#sEri,9,6.6,786.64
563,adverse,adv#s,7,8.04,625.4516129
564,adversely,adv#sli,9,6.81,752.6071429
565,adversity,@dv#s@ti,9,5.77,660.3076923
566,advert,adv#t,6,6.8,705.6428571
567,advertise,adv#t!z,9,8.94,642.7241379
568,advertised,adv#t!zd,10,8.73,760.4285714
571,advertiser,adv#t!z#,10,7.05,738.5
572,advertisers,adv#t!z#z,11,7.82,790.9230769
573,advertises,adv#t!z@z,10,6.73,841.125
574,advertising,adv#t!zIN,11,9.99,694.2413793
575,advice,@dv!s,6,10.7,571.2580645
576,advisability,@dv!z@bIl@ti,12,4.08,1086.538462
577,advisable,@dv!z@bL,9,7.09,687.6666667
578,advise,@dv!z,6,9.11,617.4666667
579,advised,@dv!zd,7,8.62,631.6333333
580,advisedly,@dv!z@dli,9,3.4,786.2592593
581,advisement,@dv!zm@nt,10,4.37,893.5757576
582,adviser,@dv!z#,7,6.93,534.2142857
583,advisers,@dv!z#z,8,6.01,625.4814815
584,advises,@dv!z@z,7,6.75,629.0357143
585,advising,@dv!zIN,8,6.9,726.6666667
586,advisor,@dv!z#,7,8.42,603.5862069
587,advisors,@dv!z#z,8,7.2,669.6296296
588,advisory,@dv!z#ri,8,8.36,765.1
589,advocacy,adv@k@si,8,8.25,707.1851852
590,advocate,adv@ket,8,8.89,709.2758621
591,advocated,adv@ket@d,9,7.37,688
592,advocates,adv@kets,9,8.64,637.9666667
593,advocating,adv@ketIN,10,8.04,715.96875
594,Aegean,IJi@n,6,7.37,962.8571429
595,aerate,Eret,6,4.88,1175
596,aerated,Eret@d,7,4.17,1105.619048
597,aerates,Erets,7,3,1267.222222
598,aeration,EreSn,8,5.32,1049.090909
599,aerator,Eret#,7,4.06,980.2105263
600,aerial,Eri@l,6,7.95,635.037037
601,aerials,Eri@lz,7,4.14,670.4074074
602,aerobatic,Er@batIk,9,5.22,1055.125
603,aerobic,ErobIk,7,7.23,757.8
