Epoch,Ortho,Phono,Length,Probability,MeanRT,Trained_Count,Cosine_Similarity,Mean_Squared_Error,Euclidean_Distance,Cross_Entropy,Exported_Pronunciation,Accuracy_Max_CS,Accuracy_Min_MSE,Accuracy_Min_ED,Accuracy_Min_CE,Accuracy_Pronunciation,Hidden_Cosine_Similarity,Hidden_Mean_Squared_Error,Hidden_Euclidean_Distance,Hidden_Cross_Entropy
None,meak,mek,4,None,None,None,0.9939094,0.010012122,1.6532723,0.063932955,mik__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.4571705,0.73045665,41.928986,12.849808
None,moop,mup,4,None,None,None,0.99994445,9.26E-05,0.1589602,0.000878062,mup__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.420142,0.78106844,43.668266,12.9513855
None,moop,mUp,4,None,None,None,0.9979437,0.003414534,0.9654883,0.011938694,mup__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.420142,0.78106844,43.668266,12.9513855
None,mune,mun,4,None,None,None,0.9291751,0.116279,5.6341963,1.3903872,mjun_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.30328,0.86005163,50.82717,13.524637
None,mune,mjun,4,None,None,None,0.9980133,0.003121084,0.9230687,0.008977909,mjun_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.30328,0.86005163,50.82717,13.524637
None,nust,nVst,4,None,None,None,0.9999816,2.86E-05,0.08842874,0.000389095,nVst_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.355788,0.8016507,47.593487,13.095581
None,peet,pit,4,None,None,None,0.99529076,0.007681041,1.448076,0.025980942,pit__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.460592,0.7215238,43.198383,12.705371
None,pilt,pIlt,4,None,None,None,0.99952114,0.000730311,0.4465142,0.002863654,pIlt_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.359142,0.8179861,48.001694,13.286089
None,plore,plor,5,None,None,None,0.99727154,0.004271782,1.0799057,0.012534181,plOr_________,TRUE,TRUE,TRUE,TRUE,FALSE,11.295845,0.87456733,49.540924,13.572778
None,pode,pod,4,None,None,None,0.9997875,0.00035367,0.3107282,0.001958082,pod__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.369123,0.78798974,45.146877,12.814169
None,pold,pold,4,None,None,None,0.99998575,2.22E-05,0.077890016,0.000385131,pold_________,FALSE,FALSE,FALSE,FALSE,TRUE,11.347762,0.8418189,48.464252,13.418158
None,pold,pald,4,None,None,None,0.9885778,0.017651288,2.1951768,0.11720231,pold_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.347762,0.8418189,48.464252,13.418158
None,prain,pren,5,None,None,None,0.99999726,4.37E-06,0.034521855,0.000239451,pren_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.349633,0.8191952,46.84827,13.279451
None,sheed,Sid,5,None,None,None,0.99999356,1.06E-05,0.05382973,0.000492861,Sid__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.515755,0.66582483,39.59601,12.18096
None,soad,sod,4,None,None,None,0.9998933,0.000179867,0.22159335,0.001195815,sod__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.437026,0.7369831,42.1669,12.676483
None,soad,sOd,4,None,None,None,0.9986596,0.002242192,0.7823799,0.005864212,sod__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.437026,0.7369831,42.1669,12.676483
None,speet,spit,5,None,None,None,0.9999746,3.86E-05,0.10268098,0.000512848,spit_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.333702,0.8150251,46.822674,13.095213
None,steet,stit,5,None,None,None,0.9999996,8.22E-07,0.014984192,6.69E-05,stit_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.381494,0.76653916,45.61089,12.8701935
None,suff,sVf,4,None,None,None,0.99981123,0.000312555,0.29210868,0.001625409,sVf__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.4058695,0.7457749,43.424583,12.641737
None,sust,sVst,4,None,None,None,0.999997,4.66E-06,0.035686325,0.000339926,sVst_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.344748,0.81131893,46.68568,13.017963
None,sweal,swil,5,None,None,None,0.9997003,0.000464413,0.35606846,0.002537962,swil_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.457298,0.7401665,44.996838,12.774243
None,taze,tez,4,None,None,None,0.9999865,2.26E-05,0.07851415,0.000639459,tez__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.368758,0.8094343,46.100677,13.087279
None,weat,wet,4,None,None,None,0.9960546,0.006432978,1.3252181,0.019195365,wIt__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.471397,0.71968275,41.911232,12.5617285
None,weat,wit,4,None,None,None,0.998577,0.002327165,0.7970671,0.006848414,wIt__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.471397,0.71968275,41.911232,12.5617285
None,weat,wEt,4,None,None,None,0.99689746,0.005040506,1.173055,0.016263286,wIt__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.471397,0.71968275,41.911232,12.5617285
None,wosh,waS,4,None,None,None,0.996124,0.00632894,1.3144583,0.019697027,wOS__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.449679,0.7723909,45.095123,12.820663
None,wote,wot,4,None,None,None,0.9968659,0.005162425,1.1871572,0.013954032,wut__________,FALSE,FALSE,FALSE,TRUE,FALSE,11.390593,0.7668169,44.148315,12.6546135
None,wuff,wVf,4,None,None,None,0.99999905,1.48E-06,0.02013424,0.000213627,wVf__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.442366,0.73897743,43.641693,12.570894
None,bild,bIld,4,None,None,None,0.99770314,0.003545683,0.9838555,0.013518549,bUld_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.33824,0.84767234,48.755844,13.387113
None,bild,b!ld,4,None,None,None,0.9963206,0.005731876,1.2509205,0.016636135,bUld_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.33824,0.84767234,48.755844,13.387113
None,bint,bInt,4,None,None,None,0.9995345,0.000713362,0.44130227,0.003089626,bInt_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.312048,0.85357946,48.649418,13.267656
None,bint,b!nt,4,None,None,None,0.9958364,0.006457943,1.327787,0.01677738,bInt_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.312048,0.85357946,48.649418,13.267656
None,blead,blEd,5,None,None,None,0.99823624,0.002717092,0.86125845,0.007779519,bled_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.425809,0.7446789,45.313267,12.812999
None,blead,blid,5,None,None,None,0.9964237,0.005522061,1.2278122,0.01514749,bled_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.425809,0.7446789,45.313267,12.812999
None,bood,bUd,4,None,None,None,0.99803364,0.003265228,0.9441437,0.010618329,bud__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.454814,0.73603165,41.721348,12.554159
None,bood,bVd,4,None,None,None,0.98698646,0.021555182,2.425812,0.19923413,bud__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.454814,0.73603165,41.721348,12.554159
None,bood,bud,4,None,None,None,0.99999297,1.18E-05,0.056701284,0.000264502,bud__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.454814,0.73603165,41.721348,12.554159
None,bost,bost,4,None,None,None,0.99905235,0.001466898,0.63282156,0.004475312,bOst_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.3508835,0.81803024,47.25731,13.178618
None,bost,bVst,4,None,None,None,0.99272,0.011171111,1.7463429,0.066385865,bOst_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.3508835,0.81803024,47.25731,13.178618
None,bost,bOst,4,None,None,None,0.99959326,0.000625565,0.41325453,0.002762084,bOst_________,FALSE,FALSE,FALSE,FALSE,TRUE,11.3508835,0.81803024,47.25731,13.178618
None,brove,brov,5,None,None,None,0.99876493,0.001917456,0.7235091,0.005404366,brYv_________,TRUE,TRUE,TRUE,TRUE,FALSE,11.332468,0.8441223,47.90658,13.333724
None,brove,bruv,5,None,None,None,0.9987124,0.001998997,0.7387329,0.005579161,brYv_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.332468,0.8441223,47.90658,13.333724
None,brove,brVv,5,None,None,None,0.9893075,0.016533306,2.1245217,0.11572772,brYv_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.332468,0.8441223,47.90658,13.333724
None,cose,kos,4,None,None,None,0.9987747,0.002031726,0.7447558,0.005325752,koz__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.386183,0.75635874,44.778755,12.671633
None,cose,koz,4,None,None,None,0.9998491,0.000252015,0.26229796,0.001438367,koz__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.386183,0.75635874,44.778755,12.671633
None,cose,kuz,4,None,None,None,0.995684,0.007170364,1.3991102,0.030055871,koz__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.386183,0.75635874,44.778755,12.671633
None,coth,koT,4,None,None,None,0.9978213,0.0035748,0.9878869,0.010365115,kOT__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.42969,0.7586975,44.016037,12.632501
None,coth,kOT,4,None,None,None,0.99927884,0.001179059,0.5673475,0.004633822,kOT__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.42969,0.7586975,44.016037,12.632501
None,dere,der,4,None,None,None,0.9967958,0.005321999,1.2053654,0.016566655,dEr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.494463,0.6910559,41.535133,12.561502
None,dere,dir,4,None,None,None,0.9963019,0.006141782,1.294877,0.018971846,dEr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.494463,0.6910559,41.535133,12.561502
None,dere,dUr,4,None,None,None,0.9939745,0.010037828,1.6553934,0.044025183,dEr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.494463,0.6910559,41.535133,12.561502
None,domb,dom,4,None,None,None,0.9938358,0.010311268,1.6777891,0.027189584,dAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.470251,0.7529151,42.45897,12.919089
None,domb,dum,4,None,None,None,0.9933341,0.011149084,1.7446203,0.035306398,dAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.470251,0.7529151,42.45897,12.919089
None,domb,dam,4,None,None,None,0.9975605,0.004049439,1.0514262,0.02369893,dAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.470251,0.7529151,42.45897,12.919089
None,domb,damb,4,None,None,None,0.95926666,0.06631924,4.2550154,1.0128706,dAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.470251,0.7529151,42.45897,12.919089
None,doot,dut,4,None,None,None,0.9999004,0.000166306,0.21307653,0.001158488,dut__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.444684,0.7335898,42.31809,12.679833
None,doot,dUt,4,None,None,None,0.99860156,0.00231918,0.7956985,0.006097667,dut__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.444684,0.7335898,42.31809,12.679833
None,drood,drUd,5,None,None,None,0.9985877,0.002194065,0.7739379,0.006000109,drud_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.36239,0.80937344,46.79877,13.314726
None,drood,drVd,5,None,None,None,0.98686564,0.020361096,2.3576639,0.18041945,drud_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.36239,0.80937344,46.79877,13.314726
None,drood,drud,5,None,None,None,0.9997092,0.000456296,0.35294297,0.00222174,drud_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.36239,0.80937344,46.79877,13.314726
None,fead,fid,4,None,None,None,0.99997306,4.44E-05,0.11009197,0.000792048,fid__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.451926,0.738041,42.50091,12.568279
None,fead,fEd,4,None,None,None,0.9939815,0.009898606,1.6438733,0.034018807,fid__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.451926,0.738041,42.50091,12.568279
None,gome,gom,4,None,None,None,0.9969585,0.005052169,1.1744114,0.013877639,gem__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.391781,0.77753913,43.885857,12.779795
None,gome,gVm,4,None,None,None,0.9969188,0.005078356,1.1774511,0.014468085,gem__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.391781,0.77753913,43.885857,12.779795
None,grook,grUk,5,None,None,None,0.9981074,0.002877507,0.88631785,0.008184791,gruk_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.303093,0.8353845,47.875957,13.265042
None,grook,gruk,5,None,None,None,0.9999664,5.15E-05,0.11862943,0.000683037,gruk_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.303093,0.8353845,47.875957,13.265042
None,haid,hAd,4,None,None,None,0.9914179,0.013952567,1.951679,0.077165015,hed__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.526321,0.6854518,40.102272,12.449131
None,haid,hEd,4,None,None,None,0.9981049,0.003077078,0.9165383,0.009228562,hed__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.526321,0.6854518,40.102272,12.449131
None,haid,hed,4,None,None,None,0.9999837,2.66E-05,0.0851996,0.000458228,hed__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.526321,0.6854518,40.102272,12.449131
None,heaf,hif,4,None,None,None,0.99965996,0.000552892,0.3885092,0.002734689,hif__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.522213,0.6606042,39.30349,12.199731
None,heaf,hEf,4,None,None,None,0.99510986,0.007883253,1.4670132,0.03270112,hif__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.522213,0.6606042,39.30349,12.199731
None,heen,hin,4,None,None,None,0.9999039,0.000157687,0.20748165,0.001592235,hin__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.519154,0.673349,41.04287,12.226244
None,heen,hIn,4,None,None,None,0.9981075,0.003099868,0.91992605,0.00970658,hin__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.519154,0.673349,41.04287,12.226244
None,hove,hov,4,None,None,None,0.99970865,0.000478285,0.36134738,0.00295256,hov__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.455885,0.7152804,42.33631,12.403612
None,hove,huv,4,None,None,None,0.9952581,0.007775545,1.456957,0.0493854,hov__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.455885,0.7152804,42.33631,12.403612
None,hove,hVv,4,None,None,None,0.99332625,0.010904193,1.7253535,0.03239473,hov__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.455885,0.7152804,42.33631,12.403612
None,lome,lom,4,None,None,None,0.9992408,0.001284349,0.5921378,0.004176926,lom__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.424074,0.7562458,42.986073,12.722848
None,lome,lVm,4,None,None,None,0.9941978,0.009785058,1.6344177,0.029936392,lom__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.424074,0.7562458,42.986073,12.722848
None,lool,lUl,4,None,None,None,0.9974912,0.004256454,1.0779666,0.012423046,lYl__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.494427,0.6904523,40.721252,12.316277
None,lool,lul,4,None,None,None,0.9992492,0.001275759,0.5901544,0.004086263,lYl__________,TRUE,TRUE,TRUE,TRUE,FALSE,11.494427,0.6904523,40.721252,12.316277
None,mear,mer,4,None,None,None,0.99499655,0.008338137,1.508745,0.03129523,mIr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.497187,0.71151686,41.95277,12.730704
None,mear,mir,4,None,None,None,0.9975349,0.004113737,1.0597407,0.01741897,mIr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.497187,0.71151686,41.95277,12.730704
None,mone,mon,4,None,None,None,0.9996095,0.000663785,0.42569152,0.003229396,mon__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.373589,0.8055095,45.659073,13.140604
None,mone,mVn,4,None,None,None,0.9940503,0.010005989,1.6527659,0.027765535,mon__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.373589,0.8055095,45.659073,13.140604
None,mone,mOn,4,None,None,None,0.99814034,0.003133372,0.92488396,0.009224986,mon__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.373589,0.8055095,45.659073,13.140604
None,moof,mUf,4,None,None,None,0.9976355,0.003945802,1.0378844,0.014121038,muf__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.439937,0.7490811,42.177727,12.773507
None,moof,muf,4,None,None,None,0.9996579,0.000571624,0.3950357,0.002424547,muf__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.439937,0.7490811,42.177727,12.773507
None,nush,nVS,4,None,None,None,0.9990939,0.00151453,0.6430137,0.004501434,nVS__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.444948,0.7646324,44.52874,12.852594
None,nush,nUS,4,None,None,None,0.9917836,0.013763742,1.9384276,0.05760784,nVS__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.444948,0.7646324,44.52874,12.852594
None,pild,pIld,4,None,None,None,0.99565375,0.006698169,1.3522575,0.025855388,p!ld_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.372242,0.8178952,47.515476,13.266078
None,pild,p!ld,4,None,None,None,0.99927396,0.001130394,0.55551547,0.003603219,p!ld_________,FALSE,FALSE,FALSE,FALSE,TRUE,11.372242,0.8178952,47.515476,13.266078
None,plove,plov,5,None,None,None,0.999994,9.50E-06,0.050936148,0.000391491,plov_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.353699,0.82034844,46.784817,13.199374
None,plove,pluv,5,None,None,None,0.995323,0.007261844,1.4080069,0.039421782,plov_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.353699,0.82034844,46.784817,13.199374
None,plove,plVv,5,None,None,None,0.99089634,0.014083066,1.9607848,0.06589578,plov_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.353699,0.82034844,46.784817,13.199374
None,pomb,pom,4,None,None,None,0.9935948,0.010622522,1.7029234,0.036120772,pAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.44854,0.76593846,43.296272,12.943064
None,pomb,pum,4,None,None,None,0.9936148,0.010589512,1.7002755,0.03537164,pAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.44854,0.76593846,43.296272,12.943064
None,pomb,pam,4,None,None,None,0.99714756,0.004698932,1.1326113,0.030293029,pAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.44854,0.76593846,43.296272,12.943064
None,pomb,pamb,4,None,None,None,0.9585473,0.06696618,4.2757187,0.98477095,pAm__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.44854,0.76593846,43.296272,12.943064
None,poot,pUt,4,None,None,None,0.9979885,0.003310573,0.95067674,0.011189566,put__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.429552,0.73995227,43.046818,12.65098
None,poot,put,4,None,None,None,0.99999064,1.55E-05,0.065143876,0.000421674,put__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.429552,0.73995227,43.046818,12.65098
None,pove,pov,4,None,None,None,0.99997926,3.44E-05,0.09696627,0.000693924,pov__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.407881,0.76190555,43.62724,12.775709
None,pove,puv,4,None,None,None,0.995763,0.007011523,1.3835266,0.031409632,pov__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.407881,0.76190555,43.62724,12.775709
None,pove,pVv,4,None,None,None,0.99167496,0.01372738,1.9358654,0.056046356,pov__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.407881,0.76190555,43.62724,12.775709
None,praid,prAd,5,None,None,None,0.9927025,0.011152091,1.7448555,0.06391715,prEd_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.379732,0.7976098,46.463684,13.393732
None,praid,pred,5,None,None,None,0.99883497,0.001783711,0.69782025,0.00454582,prEd_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.379732,0.7976098,46.463684,13.393732
None,praid,prEd,5,None,None,None,0.9997785,0.000337633,0.3036016,0.001487586,prEd_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.379732,0.7976098,46.463684,13.393732
None,shead,Sid,5,None,None,None,0.9999884,1.94E-05,0.072809905,0.00072449,Sid__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.510313,0.6769874,40.426662,12.344522
None,shead,SEd,5,None,None,None,0.9936517,0.010483292,1.6917266,0.044832073,Sid__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.510313,0.6769874,40.426662,12.344522
None,sood,sUd,4,None,None,None,0.99967283,0.000546379,0.38621432,0.002350241,sUd__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.485273,0.7012543,40.92889,12.466534
None,sood,sVd,4,None,None,None,0.9893086,0.017815286,2.205351,0.13334914,sUd__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.485273,0.7012543,40.92889,12.466534
None,sood,sud,4,None,None,None,0.9990706,0.001560911,0.6527853,0.004433716,sUd__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.485273,0.7012543,40.92889,12.466534
None,sost,sost,4,None,None,None,0.99801606,0.003096699,0.91945577,0.008826765,sOst_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.352743,0.8083295,46.88078,13.168869
None,sost,sVst,4,None,None,None,0.99452144,0.008473121,1.5209082,0.040998656,sOst_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.352743,0.8083295,46.88078,13.168869
None,sost,sOst,4,None,None,None,0.9995758,0.000660433,0.4246154,0.002952,sOst_________,FALSE,FALSE,FALSE,FALSE,TRUE,11.352743,0.8083295,46.88078,13.168869
None,speat,spet,5,None,None,None,0.9952154,0.007290416,1.410774,0.044177506,spit_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.277775,0.86412907,49.600113,13.363132
None,speat,spit,5,None,None,None,0.99999994,1.59E-07,0.006587297,5.55E-05,spit_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.277775,0.86412907,49.600113,13.363132
None,speat,spEt,5,None,None,None,0.9928215,0.010916108,1.726296,0.06349918,spit_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.277775,0.86412907,49.600113,13.363132
None,steat,stet,5,None,None,None,0.9964535,0.005424529,1.2169209,0.017154677,stit_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.331066,0.81237066,47.88933,13.161619
None,steat,stit,5,None,None,None,0.9998377,0.000249345,0.26090476,0.001380312,stit_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.331066,0.81237066,47.88933,13.161619
None,steat,stEt,5,None,None,None,0.99420744,0.008837984,1.5533092,0.02940697,stit_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.331066,0.81237066,47.88933,13.161619
None,sull,sVl,4,None,None,None,0.99987274,0.000213656,0.24151188,0.00178639,sVl__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.453733,0.7433975,43.112137,12.749403
None,sull,sUl,4,None,None,None,0.99084413,0.015393898,2.0500083,0.050526973,sVl__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.453733,0.7433975,43.112137,12.749403
