Word,Pron_NoStress
accelerator,@ksEl#ret#
accelerators,@ksEl#ret#z
accelerometer,@ksEl#rAm@t#
accelerometers,@ksEl#rAm@t#z
accent,aksEnt
accented,aksEnt@d
accenting,aksEntIN
accents,aksEnts
accentual,aksEnCu@l
accentuate,@ksEnCuet
accentuated,@ksEnCuet@d
accentuates,@ksEnCuets
accept,@ksEpt
acceptable,@ksEpt@bL
acceptance,@ksEpt@ns
accepted,@ksEpt@d
accepting,@ksEptIN
accepts,@ksEpts
access,aksEs
accesses,aksEs@z
accessible,@ksEs@bL
accessions,@ksESnz
accessories,@ksEs#riz
accessors,aksEs#z
accessory,@ksEs#ri
accident,aks@dnt
accidental,aks@dEntL
accidentally,aks@dEntLi
accidents,aks@dnts
acclaim,@klem
acclaimed,@klemd
acclaims,@klemz
acclamation,akl@meSn
acclimate,akl@met
acclimatized,@kl!m@t!zd
accolade,ak@led
accolades,ak@ledz
accommodate,@kAm@det
accommodated,@kAm@det@d
accommodates,@kAm@dets
accommodating,@kAm@detIN
accommodation,@kAm@deSn
accommodations,@kAm@deSnz
accompanied,@kVmp@nid
accompanies,@kVmp@niz
accompaniment,@kVmp@nIm@nt
accompaniments,@kVmp@nIm@nts
accompanist,@kVmp@nIst
accompanists,@kVmp@nIsts
accompany,@kVmp@ni
accompanying,@kVmp@niIN
accomplice,@kAmplIs
accomplices,@kAmplIs@z
accomplish,@kAmplIS
accomplished,@kAmplISt
accomplishes,@kAmplIS@z
accomplishing,@kAmplISIN
accomplishment,@kAmplISm@nt
accomplishments,@kAmplISm@nts
accord,@kOrd
accordance,@kOrdns
accorded,@kOrt@d
according,@kOrtIN
accordingly,@kOrtINli
accordion,@kOrti@n
accords,@kOrdz
accost,@kOst
accosted,@kOst@d
accosting,@kOstIN
account,@k0nt
accountability,@k0nt@bIl@ti
accountable,@k0nt@bL
accountant,@k0ntnt
accountants,@k0ntnts
accounted,@k0nt@d
accounting,@k0ntIN
accounts,@k0nts
accredit,@krEt@t
accreditation,@krEt@teSn
accredited,@krEt@t@d
accrue,@kru
accrued,@krud
accrues,@kruz
accruing,@kruIN
acculturated,@kVlCuret@d
acculturation,@kVlCureSn
accumulate,@kjumj@let
accumulated,@kjumj@let@d
accumulates,@kjumj@lets
accumulating,@kjumj@letIN
accumulation,@kjumj@leSn
accuracy,akj@r@si
accurate,akj@r@t
accurately,akj@r@tli
accurst,@k#st
accusation,akj@zeSn
accusations,akj@zeSnz
accusative,@kjuz@tIv
accuse,@kjuz
accused,@kjuzd
accuses,@kjuz@z
accusing,@kjuzIN
accusingly,@kjuzINli
accustom,@kVst@m
accustomed,@kVst@md
ace,es
acerbic,@s#bIk
aces,es@z
acetate,as@tet
acetone,asIton
acetylene,@sEt@lin
ache,ek
ached,ekt
aches,eks
achieve,@Civ
achieved,@Civd
achievement,@Civm@nt
achievements,@Civm@nts
achieves,@Civz
achieving,@CivIN
Achilles,@kIliz
aching,ekIN
acid,as@d
acidic,@sItIk
acidity,@sIt@ti
acids,as@dz
acknowledge,@knAlIJ
acknowledged,@knAlIJd
acknowledgement,@knAlIJm@nt
acknowledges,@knAlIJ@z
acknowledging,@knAlIJIN
acknowledgment,@knAlIJm@nt
acknowledgments,@knAlIJm@nts
acme,akmi
acne,akni
acolyte,ak@l!t
acorn,ekOrn
acorns,ekOrnz
acoustic,@kustIk
acoustical,@kustIkL
acoustically,@kustIkli
acoustics,@kustIks
acquaint,@kwent
acquaintance,@kwentns
acquainted,@kwent@d
acquiesce,akwiEs
acquiesced,akwiEst
acquiescence,akwiEsns
acquiescent,akwiEsnt
acquire,@kw!r
acquired,@kw!rd
acquires,@kw!rz
acquiring,@kw!rIN
acquisition,akw@zISn
acquisitions,akw@zISnz
acquisitive,@kwIz@tIv
acquisitiveness,@kwIz@tIvn@s
acquit,@kwIt
acquittal,@kwItL
acquitted,@kwIt@d
acre,ek#
acreage,ek#IJ
acres,ek#z
acrid,akrId
acrimonious,akr@moni@s
acrimony,akr@moni
acrobat,akr@bat
acrobatic,akr@batIk
acrobatics,akr@batIks
acrobats,akr@bats
acronym,akr@nIm
Acropolis,@krAp@lIs
across,@krOs
acrylic,@krIlIk
act,akt
acted,akt@d
acting,aktIN
action,akSn
actions,akSnz
activate,akt@vet
activated,akt@vet@d
activating,akt@vetIN
activation,akt@veSn
active,aktIv
actively,aktIvli
activism,akt@vIzm
activist,akt@vIst
activities,aktIv@tiz
activity,aktIv@ti
actor,akt#
actors,akt#z
actress,aktr@s
actresses,aktr@s@z
acts,akts
actual,akCu@l
actualities,akCual@tiz
actuality,akCual@ti
actually,akCu@li
actuary,akCuEri
acuity,@kju@ti
acupuncture,akj@pVNkC#
acute,@kjut
acutely,@kjutli
acuteness,@kjutn@s
ad,ad
Ada,et@
adage,at@J
Adam,at@m
adamant,at@m@nt
adamantly,at@m@ntli
adapt,@dapt
adaptability,@dapt@bIl@ti
adaptable,@dapt@bL
adaptation,adapteSn
adaptations,adapteSnz
adapted,@dapt@d
adapter,@dapt#
adapters,@dapt#z
adapting,@daptIN
add,ad
added,at@d
addendum,@dEnt@m
adder,at#
addict,atIkt
addicted,@dIkt@d
addiction,@dIkSn
addicts,atIkts
adding,atIN
addition,@dISn
additional,@dISn@l
additionally,@dISn@li
additions,@dISnz
additive,at@tIv
additives,at@tIvz
addle,atL
address,adrEs
addressed,@drEst
addressee,adrEsi
addressees,adrEsiz
addresses,adrEs@z
addressing,@drEsIN
adds,adz
adduce,@dus
Adele,@dEl
adept,@dEpt
adequacy,at@kw@si
adequate,at@kw@t
adequately,at@kw@tli
adhere,@dhIr
adhered,@dhIrd
adherence,@dhIr@ns
adherent,@dhIr@nt
adherents,@dhIr@nts
adheres,@dhIrz
adhesion,@dhiZn
adhesive,@dhisIv
adhesives,@dhisIvz
adieu,@du
adios,atios
adipose,at@pos
adirondack,at@rAndak
adirondacks,at@rAndaks
adjacent,@Jesnt
adjectival,aJIkt!vL
adjective,aJIktIv
adjectives,aJIktIvz
adjoin,@JYn
adjoined,@JYnd
adjoining,@JYnIN
adjoins,@JYnz
adjourn,@J#n
adjourned,@J#nd
adjourning,@J#nIN
adjournment,@J#nm@nt
adjourns,@J#nz
adjudge,@JVJ
adjudged,@JVJd
adjudging,@JVJIN
adjudicate,@JutIket
adjudication,@JutIkeSn
adjunct,aJVNkt
adjuncts,aJVNkts
adjure,@JUr
adjust,@JVst
adjustable,@JVst@bL
adjusted,@JVst@d
adjusting,@JVstIN
adjustment,@JVstm@nt
adjustments,@JVstm@nts
adjusts,@JVsts
Adlai,adli
administer,@dmIn@st#
administered,@dmIn@st#d
administering,@dmIn@st#IN
administers,@dmIn@st#z
administration,@dmIn@streSn
administrative,@dmIn@stretIv
administratively,@dmIn@stretIvli
administrator,@dmIn@stret#
administrators,@dmIn@stret#z
admirable,adm#@bL
admirably,adm#@bli
admiral,adm#r@l
admirals,adm#r@lz
admiralty,adm#r@lti
admiration,adm#eSn
admire,@dm!r
admired,@dm!rd
admirer,@dm!r#
admirers,@dm!r#z
admires,@dm!rz
admiring,@dm!rIN
admiringly,@dm!rINli
admissible,@dmIs@bL
admission,@dmISn
admissions,@dmISnz
admit,@dmIt
admits,@dmIts
admittance,@dmItns
admitted,@dmIt@d
admittedly,@dmIt@dli
admitting,@dmItIN
admixed,admIkst
admonish,@dmAnIS
admonished,@dmAnISt
admonishing,@dmAnISIN
admonishments,@dmAnISm@nts
admonition,adm@nISn
admonitions,adm@nISnz
ado,@du
adobe,@dobi
adolescence,atLEsns
adolescent,atLEsnt
adolescents,atLEsnts
Adolf,edAlf
Adonis,@donIs
adopt,@dApt
adopted,@dApt@d
adopting,@dAptIN
adoption,@dApSn
adopts,@dApts
adorable,@dOr@bL
adoration,at#eSn
adore,@dOr
adored,@dOrd
adores,@dOrz
adorn,@dOrn
adorned,@dOrnd
adornment,@dOrnm@nt
adorns,@dOrnz
adrenal,@drinL
adrenalin,@drEn@lIn
Adrian,edri@n
Adriatic,edriatIk
adrift,@drIft
adroit,@drYt
adroitness,@drYtn@s
ads,adz
adsorbed,@dsOrbd
adsorbs,@dsOrbz
adulation,aJuleSn
adult,@dVlt
adulterant,@dVlt#r@nt
adulterate,@dVlt#ret
adulterated,@dVlt#ret@d
adulterer,@dVlt#r#
adulterers,@dVlt#r#z
adulteress,@dVltr@s
adulterous,@dVlt#r@s
adultery,@dVlt#ri
adulthood,@dVlthUd
adults,@dVlts
advance,@dvans
advanced,@dvanst
advancement,@dvansm@nt
advancements,@dvansm@nts
advances,@dvans@z
advancing,@dvansIN
advantage,@dvantIJ
advantageous,adv@nteJ@s
advantageously,adv@nteJ@sli
advantages,@dvantIJ@z
advent,advEnt
adventitious,advEntIS@s
adventure,@dvEnC#
adventurers,@dvEnC##z
adventures,@dvEnC#z
adventuring,@dvEnC#IN
adventurous,@dvEnC#@s
adverb,adv#b
adverbial,@dv#bi@l
adverbs,adv#bz
adversaries,adv#sEriz
adversary,adv#sEri
adverse,adv#s
adversely,adv#sli
adversity,@dv#s@ti
advert,adv#t
advertise,adv#t!z
advertised,adv#t!zd
advertisement,adv#t!zm@nt
advertisements,adv#t!zm@nts
advertiser,adv#t!z#
advertisers,adv#t!z#z
advertises,adv#t!z@z
advertising,adv#t!zIN
advice,@dv!s
advisability,@dv!z@bIl@ti
advisable,@dv!z@bL
advise,@dv!z
advised,@dv!zd
advisedly,@dv!z@dli
advisement,@dv!zm@nt
adviser,@dv!z#
advisers,@dv!z#z
advises,@dv!z@z
advising,@dv!zIN
advisor,@dv!z#
advisors,@dv!z#z
advisory,@dv!z#ri
advocacy,adv@k@si
advocate,adv@ket
advocated,adv@ket@d
advocates,adv@kets
advocating,adv@ketIN
Aegean,IJi@n
aerate,Eret
aerated,Eret@d
aerates,Erets
aeration,EreSn
aerator,Eret#
aerial,Eri@l
aerials,Eri@lz
aerobatic,Er@batIk
aerobic,ErobIk
aerodynamic,Erod!namIk
aeronaut,Er@nOt
aeronautical,Er@nOtIkL
aeronautics,Er@nOtIks
aeroplane,Er@plen
aerosol,Er@sAl
aerosolized,Er@sAl!zd
aerosols,Er@sAlz
aerospace,Erospes
Aeschylus,iskIl@s
aesthetic,EsTEtIk
aesthetics,EsTEtIks
afar,@fAr
affable,af@bL
affair,@fEr
affairs,@fErz
affect,@fEkt
affectation,afEkteSn
affected,@fEkt@d
affecting,@fEktIN
affectingly,@fEktINli
affection,@fEkSn
affectionate,@fEkSn@t
affectionately,@fEkSn@tli
affections,@fEkSnz
affects,@fEkts
afferent,af#r@nt
affianced,@f!@nst
affidavit,af@dev@t
affidavits,af@dev@ts
affiliate,@fIliet
affiliated,@fIliet@d
affiliates,@fIliets
affiliation,@fIlieSn
affiliations,@fIlieSnz
affinities,@fIn@tiz
affinity,@fIn@ti
affirm,@f#m
affirmation,af#meSn
affirmations,af#meSnz
affirmative,@f#m@tIv
affirmatively,@f#m@tIvli
affirmed,@f#md
affirming,@f#mIN
affirms,@f#mz
affix,afIks
affixed,@fIkst
afflict,@flIkt
afflicted,@flIkt@d
affliction,@flIkSn
afflictions,@flIkSnz
affluence,aflu@ns
affluent,aflu@nt
afford,@fOrd
afforded,@fOrt@d
affording,@fOrtIN
affords,@fOrdz
affricate,afr@k@t
affront,@frVnt
affronted,@frVnt@d
affronting,@frVntIN
Afghan,afgan
Afghanistan,afgan@stan
Afghans,afganz
aficionado,@fISi@nAto
afield,@fild
afire,@f!r
aflame,@flem
afloat,@flot
afoot,@fUt
aforementioned,@fOrmEnSnd
aforesaid,@fOrsEd
aforethought,@fOrTOt
afoul,@f0l
afraid,@fred
Africa,afr@k@
African,afr@k@n
Africans,afr@k@nz
afro,afro
aft,aft
after,aft#
afterbirth,aft#b#T
aftercare,aft#kEr
aftereffect,aft#IfEkt
afterglow,aft#glo
afterlife,aft#l!f
aftermath,aft#maT
afternoon,aft#nun
afternoons,aft#nunz
aftershave,aft#Sev
aftertaste,aft#test
afterthought,aft#TOt
afterward,aft#w#d
afterwards,aft#w#dz
again,@gEn
against,@gEnst
Agamemnon,ag@mEmnAn
agape,@gep
agar,AgAr
Agatha,ag@T@
age,eJ
aged,eJ@d
ageless,eJl@s
agencies,eJ@nsiz
agency,eJ@nsi
agenda,@JEnt@
agent,eJ@nt
agents,eJ@nts
ages,eJ@z
Aggie,agi
Aggies,agiz
agglomerate,@glAm#r@t
agglomeration,@glAm#reSn
agglutinating,@glut@netIN
agglutination,@glut@neSn
aggrandize,@grand!z
aggravate,agr@vet
aggravated,agr@vet@d
aggravates,agr@vets
aggravation,agr@veSn
aggregate,agr@g@t
aggregation,agr@geSn
aggregations,agr@geSnz
aggression,@grESn
aggressions,@grESnz
aggressive,@grEsIv
aggressively,@grEsIvli
aggressiveness,@grEsIvn@s
aggressor,@grEs#
aggrieve,@griv
aggrieved,@grivd
aghast,@gast
agile,aJ@l
agilely,aJ@lli
agility,@JIl@ti
aging,eJIN
agitate,aJ@tet
agitated,aJ@tet@d
agitating,aJ@tetIN
agitation,aJ@teSn
agitator,aJ@tet#
agitators,aJ@tet#z
agleam,@glim
aglow,@glo
Agnes,agnIs
agnostic,agnAstIk
agnostics,agnAstIks
ago,@go
agonies,ag@niz
agonize,ag@n!z
agonized,ag@n!zd
agonizes,ag@n!z@z
agonizing,ag@n!zIN
agony,ag@ni
agoraphobia,ag#r@fobi@
agrarian,@grEri@n
agree,@gri
agreeable,@gri@bL
agreeableness,@gri@bLn@s
agreeably,@gri@bli
agreed,@grid
agreeing,@griIN
agreement,@grim@nt
agreements,@grim@nts
agrees,@griz
agricultural,agrIkVlC#@l
agriculturalist,agrIkVlC#@lIst
agriculturally,agrIkVlC#@li
agriculture,agrIkVlC#
agriculturist,agrIkVlC#Ist
Agrippa,@grIp@
agronomy,@grAn@mi
aground,@gr0nd
ah,A
ahead,@hEd
ahem,@h@m
ahoy,@hY
aid,ed
aide,ed
aided,et@d
aides,edz
aiding,etIN
aids,edz
ail,el
ailerons,el#rAnz
ailing,elIN
ailment,elm@nt
ailments,elm@nts
aim,em
aimed,emd
aiming,emIN
aimless,eml@s
aimlessly,eml@sli
aims,emz
air,Er
airbase,Erbes
airbed,ErbEd
airbladder,Erblad#
airborne,ErbOrn
airbrake,Erbrek
airbus,ErbVs
aircraft,Erkraft
aircrew,Erkru
aircushion,ErkUS@n
airdrop,ErdrAp
airdrops,ErdrAps
aired,Erd
airfield,Erfild
airfields,Erfildz
airflow,Erflo
airforce,ErfOrs
airframe,Erfrem
airily,Er@li
airless,Erl@s
airlift,ErlIft
airline,Erl!n
airliner,Erl!n#
airlines,Erl!nz
airlock,ErlAk
airmail,Ermel
airmen,Erm@n
airpark,ErpArk
airplane,Erplen
airplanes,Erplenz
airport,ErpOrt
airports,ErpOrts
airs,Erz
airshaft,ErSaft
airship,ErSIp
airsick,ErsIk
airspace,Erspes
airspeed,Erspid
airstrip,ErstrIp
airstrips,ErstrIps
airtight,Ert!t
airway,Erwe
airways,Erwez
airy,Eri
aisle,!l
ajar,@JAr
akin,@kIn
Akron,akr@n
Al,al
Alabama,al@bam@
Alabamans,al@bam@nz
alabaster,al@bast#
Alamo,al@mo
Alamogordo,al@m@gOrdo
Alan,al@n
alarm,@lArm
alarmed,@lArmd
alarming,@lArmIN
alarmingly,@lArmINli
alarmist,@lArmIst
alarms,@lArmz
alas,@las
Alaska,@lask@
albacore,alb@kor
Albania,albeni@
Albanian,albeni@n
Albanians,albeni@nz
Albany,Olb@ni
albatross,alb@trAs
albeit,OlbiIt
Albert,alb#t
albino,alb!no
album,alb@m
albumin,albjum@n
albums,alb@mz
alchemist,alk@mIst
alchemy,alk@mi
alcohol,alk@hAl
alcoholic,alk@hAlIk
alcoholics,alk@hAlIks
alcoholism,alk@hAlIzm
alcohols,alk@hAlz
alcove,alkov
alcoves,alkovz
alderman,Old#m@n
aldermen,Old#m@n
ale,el
alehouse,elh0s
alert,@l#t
alerted,@l#t@d
alerting,@l#tIN
alertly,@l#tli
alertness,@l#tn@s
alerts,@l#ts
Alex,alIks
Alexander,alIgzant#
Alexandria,alIgzandri@
Alexei,@lEksi
Alexis,@lEksIs
alfalfa,alfalf@
Alfonso,alfAnso
Alfred,alfr@d
alfredo,alfreto
alga,alg@
algae,algi
algaecide,alJIs!d
algebra,alJ@br@
algebraic,alJ@breIk
algebraically,alJ@breIkli
Algeria,alJIri@
Algerian,alJIri@n
Algerians,alJIri@nz
algorithm,alg#rID@m
alias,eli@s
alibi,al@b!
alibis,al@b!z
Alice,al@s
Alicia,@lIS@
alien,eli@n
alienable,eli@n@bL
alienate,eli@net
alienated,eli@net@d
alienates,eli@nets
alienation,eli@neSn
aliens,eli@nz
alight,@l!t
align,@l!n
aligned,@l!nd
aligning,@l!nIN
alignment,@l!nm@nt
alignments,@l!nm@nts
alike,@l!k
aliment,alIm@nt
alimony,al@moni
alive,@l!v
alkali,alk@l!
alkaline,alk@l!n
alkalis,alk@l!z
all,Ol
Allah,Al@
Allan,al@n
allay,@le
allegation,al@geSn
allegations,al@geSnz
allege,@lEJ
alleged,@lEJd
allegedly,@lEJ@dli
allegiance,@liJ@ns
allegiances,@liJ@ns@z
alleging,@lEJIN
allegoric,al@gOrIk
allegorical,al@gOrIkL
allegory,al@gOri
allegretto,al@grEto
allegro,@legro
Alleluia,al@luj@
Allen,al@n
allergen,al#J@n
allergic,@l#JIk
allergies,al#Jiz
allergy,al#Ji
alleviate,@liviet
alleviating,@livietIN
alleviation,@livieSn
alley,ali
alleys,aliz
alleyway,aliwe
alleyways,aliwez
alliance,@l!@ns
alliances,@l!@ns@z
allied,al!d
allies,al!z
alligator,al@get#
alligatored,al@get#d
Allison,alIsn
alliterate,@lIt#ret
alliteration,@lIt#reSn
alliterative,@lIt#retIv
allocable,al@k@bL
allocate,al@ket
allocated,al@ket@d
allocation,al@keSn
allocations,al@keSnz
allopathic,al@paTIk
allopathy,@lAp@Ti
allot,@lAt
alloted,@lAt@d
allotment,@lAtm@nt
allotments,@lAtm@nts
allotted,@lAt@d
allotting,@lAtIN
allow,@l0
allowable,@l0@bL
allowance,@l0@ns
allowances,@l0@ns@z
allowed,@l0d
allowing,@l0IN
allows,@l0z
alloy,alY
alloys,alYz
allspice,Olsp!s
alluded,@lut@d
alludes,@ludz
alluding,@lutIN
allure,@lUr
allurement,@lUrm@nt
alluring,@lUrIN
allusion,@luZn
allusions,@luZnz
allusive,@lusIv
allusiveness,@lusIvnEs
ally,al!
almanac,Olm@nak
Almighty,Olm!ti
almond,Am@nd
almonds,Am@ndz
almost,Olmost
alms,Amz
aloe,alo
aloes,aloz
aloft,@lOft
alone,@lon
aloneness,@lonn@s
along,@lON
alongside,@lONs!d
aloof,@luf
aloofness,@lufn@s
aloud,@l0d
Alp,alp
alpha,alf@
alphabet,alf@bEt
alphabetic,alf@bEtIk
alphabetical,alf@bEtIkL
alphabetized,alf@b@t!zd
Alpine,alp!n
Alps,alps
already,OlrEti
alright,Olr!t
also,Olso
altar,Olt#
altarpiece,Olt#pis
alter,Olt#
alteration,Olt#eSn
alterations,Olt#eSnz
altercate,Olt#ket
altercation,Olt#keSn
altered,Olt#d
altering,Olt#IN
alterman,Olt#m@n
alternate,Olt#net
alternated,Olt#net@d
alternately,Olt#n@tli
alternating,Olt#netIN
alternation,Olt#neSn
alternative,Olt#n@tIv
alternatively,Olt#n@tIvli
alternatives,Olt#n@tIvz
alternator,Olt#net#
alters,Olt#z
although,OlDo
altitude,alt@tud
alto,alto
altogether,Olt@gED#
altruism,altruIzm
altruist,altruIst
altruistically,altruIstIkli
alum,al@m
aluminium,alj@mIni@m
aluminum,@lum@n@m
alumnae,@lVmni
alumni,@lVmn!
alveolar,alvi@l#
alveoli,alvi@l!
alveolus,alvi@l@s
always,Olwez
am,am
amalgamate,@malg@met
amalgamated,@malg@met@d
amalgamation,@malg@meSn
amass,@mas
amassing,@masIN
amateur,am@t#
amateurish,am@t#IS
amateurishness,am@t#ISn@s
amateurs,am@t#z
amatory,am@tOri
amaze,@mez
amazed,@mezd
amazement,@mezm@nt
amazing,@mezIN
amazingly,@mezINli
Amazon,am@zAn
Amazonian,am@zoni@n
Amazons,am@zAnz
ambassador,ambas@t#
ambassadors,ambas@t#z
amber,amb#
ambiance,ambi@ns
ambidextrous,ambIdEkstr@s
ambience,ambi@ns
ambient,ambi@nt
ambiguities,ambIgju@tiz
ambiguity,ambIgju@ti
ambiguous,ambIgju@s
ambition,ambISn
ambitions,ambISnz
ambitious,ambIS@s
ambitiously,ambIS@sli
ambivalence,ambIv@l@ns
ambivalent,ambIv@l@nt
amble,ambL
ambled,ambLd
ambling,ambLIN
Ambrose,ambroz
ambrosia,ambroZ@
ambrosial,ambroZL
ambulance,ambj@l@ns
ambulances,ambj@l@ns@z
ambulatory,ambj@l@tOri
ambuscade,amb@sked
ambush,ambUS
ambushed,ambUSt
ambushes,ambUS@z
ameliorate,@milj@ret
Amen,emEn
amenable,@min@bL
amend,@mEnd
amendable,@mEnt@bL
amended,@mEnt@d
amending,@mEntIN
amendment,@mEndm@nt
amendments,@mEndm@nts
amenity,@mEn@ti
America,@mEr@k@
American,@mEr@k@n
Americana,@mEr@kan@
Americanize,@mEr@k@n!z
Americans,@mEr@k@nz
Americas,@mEr@k@z
amethyst,am@TIst
amiable,emi@bL
amicable,amIk@bL
amicably,amIk@bli
amid,@mId
amide,am!d
amidst,@mIdst
amigo,@migo
amino,@mino
amiss,@mIs
amity,amIti
ammo,amo
ammonia,@moni@
ammonium,@moni@m
ammunition,amj@nISn
amnesia,amniZ@
amnesty,amn@sti
amoeba,@mib@
amok,@mVk
among,@mVN
amongst,@mVNst
amoral,emOr@l
amorality,em#ral@ti
amorist,am#Ist
amorous,am#r@s
amorphous,@mOrf@s
amorphously,@mOrf@sli
amortization,am#t@zeSn
amortize,am#t!z
amory,em#ri
amount,@m0nt
amounted,@m0nt@d
amounting,@m0ntIN
amounts,@m0nts
amour,@mUr
amp,amp
ampere,ampIr
ampersand,amp#sand
amphetamine,amfEt@min
amphetamines,amfEt@minz
amphibian,amfIbi@n
amphibious,amfIbi@s
amphitheater,amf@Ti@t#
ample,ampL
amplification,ampl@f@keSn
amplified,ampl@f!d
amplifier,ampl@f!#
amplifiers,ampl@f!#z
amplify,ampl@f!
amplifying,ampl@f!IN
amplitude,ampl@tud
amply,ampli
amputate,ampj@tet
amputated,ampj@tet@d
amputation,ampj@teSn
amputee,ampj@ti
Amsterdam,amst#dam
amuck,@m@k
amulet,amj@l@t
amulets,amj@l@ts
amuse,@mjuz
amused,@mjuzd
amusedly,@mjuz@dli
amusement,@mjuzm@nt
amusements,@mjuzm@nts
amusing,@mjuzIN
amusingly,@mjuzINli
Amy,emi
an,an
anachronism,@nakr@nIzm
anachronisms,@nakr@nIzmz
anachronistically,@nakr@nIstIkli
anaconda,an@kAnt@
anacondas,an@kAnt@z
anaerobic,anErobIk
anaesthetic,an@sTEtIk
anaesthetize,@nEsT@t!z
anagram,an@gram
anal,enL
analeptic,an@lEptIk
analogies,@nal@Jiz
analogous,@nal@g@s
analogy,@nal@Ji
analysed,anL!zd
analyses,anL!z@z
analysis,@nal@sIs
analyst,anLIst
analysts,anLIsts
analytic,anLItIk
analytical,anLItIkL
analytically,anLItIkli
analyzable,anL!z@bL
analyze,anL!z
analyzed,anL!zd
analyzer,anL!z#
analyzes,anL!z@z
analyzing,anL!zIN
anarchic,anArkIk
anarchical,anArkIkL
anarchism,an#kIzm
anarchist,an#kIst
anarchy,an#ki
anatomic,an@tAmIk
anatomical,an@tAmIkL
anatomically,an@tAmIkli
anatomy,@nat@mi
ancestor,ansEst#
ancestors,ansEst#z
ancestral,ansEstr@l
ancestry,ansEstri
anchor,aNk#
Anchorage,aNk#IJ
anchored,aNk#d
anchoring,aNk#IN
anchorman,aNk#man
anchors,aNk#z
anchovy,anCovi
ancient,enSnt
anciently,enSntli
ancients,enSnts
